"Reference","Qty","Value","Field6"
"C1,C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C324,C325,C326,C327,C328,C329,C330,C331,C332,C333,C334,C335,C336,C337,C338,C339,C340,C341,C342,C343,C344,C345,C346,C347,C348,C349,C350,C351,C352,C353,C354,C355,C356,C357,C359,C360,C361,C362,C363,C364,C366,C367,C368,C369,C370,C371,C372,C373,C383,C384,C385,C386,C387,C388,C389,C392,C393,C394,C396,C397,C398,C399,C468,C469,C502,C503,C504,C505,C506,C507,C508,C509,C510,C905","98","0.01/100V,0.01/50V,0.01/50V (CE),0.022/50V,0.027/50V,0.033/50V,0.047/50V,0.22/50V,1/35V (D.T.),1/50V,10/16V,10/16V (D.T.),10/25V,10/35V,10p/50V,1800p/100V,180p/100V,2.2/50V,22/16V,22/25V,220/6.3V,2200p/100V,22p/50V,2700p/100V,270p/100V,3300p/100V,330p/100V,360p/100V,4.7/35V,47/10V,47/16V,470/25V,470/6.3V,470p/100V,5600p/50V,68p/50V,8200p/100V","#16 Replaced ?,#17 2.2-->3.3,#25 ,Replaced,Replaced?"
"D15,D17,D301,D302,D303,D304,D305,D306,D307,D308,D310,D311,D312,D412","14","1SS133T-77,DS135D-FA4,L,R,Zener, RD3.6Eb2,missed data",""
"G13,G38,G40,G42,G44,G46,G48","7","~",""
"J301,J401","2","(RED),(WHT)",""
"K301,K302,K303","3","MR62-24S",""
"L301,L302,L303,L304,L305,L306","6","2.2mH, Choke,220mH, Choke,3mH, Bias Trap,3mH, Dummy,3mH, Trap",""
"P301,P401","2","(RED),(WHT)",""
"Q1,Q301,Q302,Q303,Q304,Q305,Q306,Q307,Q308,Q309,Q310,Q311,Q312,Q313,Q314,Q315,Q316,Q317,Q318,Q320,Q321,Q322,Q323","23","2SA733A-KB,2SA999F,2SC2320F,2SC536F,2SC945L-K,2SD1140,2SD655E,FET, 2SK364 BL",""
"R-correction-UV_meter?","1","17k",""
"R1,R3,R5,R301,R302,R303,R304,R305,R306,R307,R308,R309,R310,R311,R312,R313,R314,R315,R316,R317,R318,R319,R320,R321,R322,R323,R324,R325,R326,R327,R328,R329,R330,R331,R332,R333,R334,R335,R336,R337,R339,R340,R341,R342,R343,R344,R345,R346,R347,R348,R349,R350,R351,R352,R353,R354,R355,R356,R357,R358,R359,R360,R361,R362,R363,R364,R365,R366,R367,R368,R369,R370,R371,R372,R373,R374,R375,R376,R377,R378,R379,R380,R381,R382,R383,R384,R385,R386,R387,R388,R390,R391,R392,R393,R394,R395,R396,R397,R398,R437,R500,R501,R502,R503,R504,R505,R506,R507,R508,R509,R510,R511,R512,R513,R514,R515,R516,R517,R518,R519,R536,R537,R539,R540,R541,R542,R543,R544,R545,R577,R579,R580,R581,R582,R583,R584,R585,R586,R587,R588,R589,R590,R591,R592,R593,R594,R595,R596,R597,R598,R990,R991","152","1.2k,1.5k,1.8k,10,100,100 (1/4W),100 NF!,100k,100k (1/4W),10M,10k,120k,12k,150,15k,18k,1M,1k,2.2k,20k,22,22 (1/4W) NF!,22 NF!,220,220k,22k,270k,3.3k,33,330k,33k,4.7k,420k,47k,5.6K (1/4W),5.6k,560,56k,6.2k,6.8k,680k,68k,7.5k,820,820k",""
"RV550,RV551,RV554,RV555,RV556,RV557,RV559,RV560,RV561,RV562,RV563,RV564,RV565,RV566,RV567,RV568,RV569,RV570,RV571,RV572,RV573,RV574,RV576,RV972,RV973","25","100k,10k,1k,220k,4.7k,470k,47K,47k",""
"S1,S10,S301,S304,S305,S404","6","L,R,~",""
"S303(S403)?","1","~",""
"TP01(TP11)?","1","TestPoint",""
"TP02(TP12)?","1","TestPoint",""
"TP03(TP13)?","1","TestPoint",""
"TP05(TP15)?","1","TestPoint",""
"TP6","1","TestPoint",""
"TP304(TP404)?","1","TestPoint",""
"U301,U302,U303,U304,U305,U306,U307,U308,U311,U312,U313,U314,U315,U316,U317,U318,U319,U320,U321,U322,U324,U325,U326,U327,U328,U329,U330,U331,U332,U333,U334,U336,U337","33","2SC3400,BIAS OSC,DTC143TF,LM833N,NJM78M18A",""
"W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W16,W17,W18,W20,W21,W22,W23,W24,W27,W28,W29,W30","25","Jumper_2_Bridged",""
"W26(W27)?","1","Jumper_2_Bridged",""
